epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6104,1.25295,1.95372,1.45666,0.84222,0.47727,0.75756,0.38863,1.30786,2.2271,1.65032,0.0005,0.0005,0.0005
2,178.685,1.28468,1.51293,1.45254,0.57864,0.52273,0.52779,0.22469,1.77421,2.10965,2.05335,0.00096951,0.00096951,0.00096951
3,267.034,1.28036,1.47735,1.44398,0.66169,0.65195,0.63399,0.31105,1.63997,1.94526,2.12362,0.00138754,0.00138754,0.00138754
4,337.87,1.33134,1.5092,1.49088,0.76521,0.5,0.63881,0.23455,2.05995,2.12184,2.69713,0.001703,0.001703,0.001703
5,409.171,1.37006,1.45186,1.50949,0.45223,0.48485,0.44319,0.20568,1.76369,2.23473,2.20208,0.001604,0.001604,0.001604
6,479.788,1.33052,1.35076,1.45312,0.68557,0.64419,0.66869,0.32542,1.61887,2.10527,2.00519,0.001505,0.001505,0.001505
7,551.379,1.30763,1.33985,1.42288,0.72938,0.65909,0.68548,0.3583,1.5146,1.86088,1.9439,0.001406,0.001406,0.001406
8,621.876,1.2402,1.26213,1.38372,0.73069,0.81818,0.77409,0.4302,1.3777,1.40241,1.69546,0.001307,0.001307,0.001307
9,692.394,1.28559,1.24044,1.43865,0.78997,0.76515,0.77628,0.41241,1.49974,1.36347,1.79447,0.001208,0.001208,0.001208
10,763.843,1.20309,1.17982,1.38023,0.71749,0.84657,0.83305,0.46241,1.39614,1.25382,1.60926,0.001109,0.001109,0.001109
11,837.345,1.13277,1.26494,1.36538,0.80318,0.80303,0.8717,0.53966,1.25925,1.24032,1.49498,0.00101,0.00101,0.00101
12,911.128,1.09119,1.11919,1.35678,0.84801,0.71858,0.73927,0.41942,1.49752,1.34302,1.87726,0.000911,0.000911,0.000911
13,984.785,1.06101,1.00593,1.3123,0.84255,0.81079,0.83655,0.53678,1.21787,1.17043,1.51487,0.000812,0.000812,0.000812
14,1058.25,1.03449,1.00437,1.31519,0.88448,0.87005,0.89052,0.55436,1.16799,1.00406,1.45914,0.000713,0.000713,0.000713
15,1132.21,1.04111,0.9324,1.31492,0.83251,0.86364,0.87002,0.56735,1.19416,1.03122,1.46397,0.000614,0.000614,0.000614
16,1206.35,0.97911,0.87997,1.26792,0.85831,0.87191,0.88921,0.57123,1.16461,0.95475,1.42965,0.000515,0.000515,0.000515
17,1279.92,0.92573,0.86216,1.23137,0.87197,0.90152,0.91163,0.62326,1.07679,0.92015,1.33759,0.000416,0.000416,0.000416
18,1354.51,0.92203,0.86231,1.22862,0.89901,0.87671,0.91426,0.61634,1.07228,0.93117,1.33154,0.000317,0.000317,0.000317
19,1425.92,0.8848,0.79633,1.20913,0.88686,0.88636,0.90953,0.61223,1.07436,0.9076,1.33461,0.000218,0.000218,0.000218
20,1497.86,0.85233,0.76916,1.1826,0.926,0.86364,0.9155,0.60718,1.07158,0.8951,1.33077,0.000119,0.000119,0.000119
